,Name of Metropolitan Thana,Area (sq km),Population,Density (per sq km),Literacy Rate (%)
4, Adabor ,2.07,86540.0,41806.0,62.24
5, Uttar Khan ,20.09,52014.0,2590.0,64.58
6, Uttara ,36.91,66636.0,11295.0,65.67
7, Kadamtali ,10.16,330565.0,32536.0,63.87
8, Kalabagan ,1.26,106671.0,84660.0,76.88
9, Kafrul ,7.89,272939.0,34593.0,69.87
10, Kamrangirchar ,3.63,143208.0,39452.0,42.84
11, Cantonment ,14.47,117464.0,11393.0,70.3
12, Kotwali ,0.67,82488.0,123117.0,77.78
13, Khilkhet ,15.88,39227.0,2470.0,58.32
14, Khilgaon ,14.83,230902.0,15560.0,56.92
15, Gulshan ,8.85,145969.0,16494.0,68.12
16, Gendaria ,1.83,160541.0,87728.0,69.97
17, Chawkbazar Model ,2.07,160112.0,77349.0,75.49
18, Demra ,19.9,125312.0,6473.0,58.58
19, Turag ,12.17,53558.0,4401.0,60.54
20, Tejgaon ,2.74,118540.0,41073.0,76.51
21, Tejgaon I/A ,4.38,64129.0,14641.0,69.56
22, Dakshinkhan ,11.08,177760.0,15412.0,68.87
23, Darus Salam ,4.98,198723.0,39904.0,67.58
24, Dhanmondi  ,4.34,128942.0,22798.0,70.9
25, New Market ,1.67,66439.0,37173.0,82.32
26, Paltan ,1.42,64492.0,34854.0,81.74
27, Pallabi ,25.28,412217.0,16306.0,64.1
28, Bangshal ,1.2,178241.0,148535.0,69.35
29, Badda ,36.84,320025.0,8689.0,58.36
30, Bimanbandar ,8.02,5079.0,634.0,79.13
31, Motijheel ,3.69,225999.0,61246.0,76.22
32, Mirpur Model ,4.71,274530.0,58287.0,73.73
33, Mohammadpur ,7.44,241343.0,32439.0,74.7
34, Jatrabari ,13.19,260772.0,19770.0,63.04
35, Ramna ,3.84,176437.0,46068.0,75.11
36, Rampura ,2.8,138923.0,49615.0,74.45
37, Lalbagh ,2.04,188794.0,92547.0,71.45
38, Shah Ali ,5.15,102855.0,19972.0,73.02
39, Shahbagh ,3.49,74113.0,21236.0,79.39
40, Sher-e-Bangla Nagar ,5.25,248871.0,47404.0,71.67
41, Shyampur ,1.66,65864.0,65.36,
42, Sabujbagh ,6.62,236813.0,35773.0,62.38
43, Sutrapur ,2.08,191879.0,92250.0,76.17
44, Hazaribagh ,3.94,103482.0,26265.0,64.4
